form	count	curated
gedeonis	7	
hananiæ	7	
beseleel	7	
rebeccæ	7	
esron	7	
sepharvaim	7	
oreb	7	
phogor	7	
odollam	7	
elia	7	
gethæi	7	
taphnis	7	
phelethi	7	
seboim	7	
iscariotes	7	
bethaven	7	
debbora	7	
hepher	7	
oza	7	
selemiæ	7	
jebusæus	7	
jezrahelitæ	7	
galgalam	7	
tobia	7	
sennaar	7	
phasga	7	
aod	7	
gamaliel	7	
gomorrham	7	
gorgias	7	
cariathaim	7	
goliath	7	
abiezer	7	
malaleel	7	yes
elnathan	7	
demetrii	7	
achinoam	7	
elon	7	
basemath	7	
jabin	7	
mesopotamiam	7	
beroth	7	
hanania	7	
maon	7	
barnabam	7	
palæstinorum	7	
lotan	7	
sidoniorum	7	
dalila	7	
gessuri	7	
netophathites	7	
cainan	7	yes
thubal	7	
arphad	6	
engaddi	6	
semeiæ	6	
sepher	6	
elimelech	6	
sodomis	6	
pharos	6	
jezraël	6	
idaia	6	
bathuel	6	
jahel	6	
jamin	6	
zeb	6	
memphis	6	
sichimam	6	
joathan	6	
misaël	6	
joahe	6	
azeca	6	
garizim	6	
mathathiæ	6	
abdemelech	6	
thola	6	
bosra	6	
onan	6	
bethuliam	6	
lobna	6	
gomorrha	6	
hus	6	
liam	6	
phadaia	6	
galaadites	6	
othoniel	6	
sophoniam	6	
saræ	6	
elasa	6	
lais	6	
arioch	6	
esthaol	6	
gomer	6	
jechoniam	6	
lazarum	6	
socoth	6	
hebal	6	
jebus	6	
achan	6	
achobor	6	
ophni	6	
elisaphan	6	
banaiæ	6	
darius	6	
jojarib	6	
asel	6	
jasa	6	
melchom	6	
jectan	6	
menelaum	6	
sobna	6	
ochoziam	6	
sephor	6	
ar	6	
achaia	6	
eden	6	yes
zamri	6	
ephra	6	
bebai	6	
pherezæi	6	
eliasaph	6	
dedan	6	
beelphegor	6	
asiongaber	6	
dadan	6	
saraia	6	
charan	6	
timotheo	6	
esdræ	6	
hananias	6	
horma	6	
thahath	6	
gedor	6	
godolias	5	
sarug	5	
phallu	5	
tholmai	5	
jozabed	5	
gihon	5	
asan	5	
medaba	5	
ram	5	
rabba	5	
cornelius	5	
saraiæ	5	
abidan	5	
bethaniam	5	
lysiæ	5	
bonni	5	
sidon	5	
alphæi	5	
sichimorum	5	
bethania	5	
raphidim	5	
salamiel	5	
cethim	5	
machati	5	
asaia	5	
barnaba	5	
jacobo	5	
josiam	5	
bethulia	5	
nicodemus	5	
ptolemæum	5	
apollonius	5	
mathaniæ	5	
eleale	5	
chodorlahomor	5	
lysiam	5	
secheniæ	5	
nahath	5	
nabaioth	5	
athersatha	5	
jerosolyma	5	
abihail	5	
phadassur	5	
recem	5	
ammiel	5	
phegiel	5	
surisaddai	5	
lobni	5	
salmanasar	5	
sidonii	5	
miamin	5	
duel	5	
gabaath	5	
hattus	5	
ascalon	5	
haber	5	
gebbethon	5	
argob	5	
bennui	5	
sunamitidem	5	
ahiezer	5	
nehemiæ	5	
thou	5	
telmon	5	
macelloth	5	
haseroth	5	
epha	5	
manaim	5	
sabama	5	
ahilud	5	
magog	5	
suhites	5	
abisag	5	
jechonias	5	
ceilæ	5	
cinæi	5	
ahohites	5	
idumæus	5	
gazaram	5	
laodiciæ	5	
phua	5	
ziza	5	
jesi	5	
ammisaddai	5	
ephratha	5	
samuele	5	
saron	5	
samaa	5	
bethsaida	5	
mathan	5	
melchisua	5	
bocci	5	
baldad	5	
ochran	5	
noa	5	
gabelum	5	
machabæo	5	
bahurim	5	
joacim	5	
mathania	5	
azmoth	5	
chonenias	5	
namsi	5	
somer	5	
holofernem	5	
disan	5	
amadathi	5	
zebul	5	
elim	5	
salmon	5	
elisur	4	
hasebia	4	
berothitæ	4	
meribbaal	4	
raguelis	4	
palæstinos	4	
rabsacis	4	
abinoëm	4	
serebia	4	
mahath	4	
simeonis	4	
rechabitarum	4	
taneos	4	
maala	4	
jezonias	4	
taphua	4	
mesraim	4	
taphnes	4	
arapha	4	
baala	4	
jesua	4	
amalecites	4	
ceila	4	
sobab	4	
ahimelech	4	
zacharia	4	
samsai	4	
hethæorum	4	
antiocho	4	
ophel	4	
haggith	4	
cenereth	4	
mahalon	4	
saraias	4	
baladan	4	
hegla	4	
guni	4	
melluch	4	
sanir	4	
mardochæi	4	
jarib	4	
respha	4	
ezri	4	
chamaam	4	
godoliæ	4	
jaboc	4	
epher	4	
harim	4	
arbe	4	
rabsacen	4	
saphatia	4	
samir	4	
maasiam	4	
reu	4	
jecsan	4	
raphaia	4	
caiphas	4	
javan	4	
hasabias	4	
barnabæ	4	
cyro	4	
jadihel	4	
stharbuzanai	4	
subaël	4	
rogel	4	
jahath	4	
azgad	4	
saraiam	4	
thogorma	4	
oziam	4	
zanoë	4	
ooliab	4	
asir	4	
apollonium	4	
thecuæ	4	
japhia	4	
odaia	4	
arimathæa	4	
nathinæis	4	
pherezæus	4	
chanaana	4	
mathanias	4	
azaria	4	
bechor	4	
eliachim	4	
uriel	4	
luza	4	
ozam	4	
vagao	4	
phahath	4	
lystram	4	
hanameel	4	
thesbiten	4	
adoniæ	4	
naamathites	4	
gaas	4	
gabriel	4	
jemna	4	
gethremmon	4	
asedoth	4	
phihahiroth	4	
cabseel	4	
azuba	4	
sassabasar	4	
dothain	4	
beelteem	4	
masma	4	
salomith	4	
regma	4	
idumæorum	4	
sibæ	4	
abiasaph	4	
ptolemæo	4	
semiramoth	4	
galgal	4	
jemla	4	
zabdi	4	
semeron	4	
thecue	4	
amelech	4	
ezer	4	
hananeel	4	
banaia	4	
ahaz	4	
oronaim	4	
jamniam	4	
athach	4	
ooliba	4	
pheshur	4	
gerasenorum	4	
jasonis	4	
gozan	4	
thathanai	4	
helles	4	
jaziel	4	
ur	4	
abarim	4	
heliopoleos	4	
jasub	4	
besai	4	
naasson	4	
zabadias	3	
achaiæ	3	
ismaëlis	3	
genthon	3	
lobnam	3	
nehelamiten	3	
buz	3	
zelphæ	3	
leedan	3	
reseph	3	
tryphonem	3	
ziphæi	3	
opher	3	
ebal	3	
aza	3	
machabæum	3	
troadem	3	
geba	3	
jephlat	3	
jeblaam	3	
henadad	3	
ascenez	3	
luzam	3	
zachai	3	
galaaditæ	3	
dabereth	3	
emim	3	
neregel	3	
matthæum	3	
helciam	3	
stephanum	3	
jasone	3	
rachelis	3	
ragau	3	
thamnatha	3	
sechenias	3	
sophoniæ	3	
ecbatanis	3	
ruma	3	
zares	3	
martham	3	
nepheg	3	
esdra	3	
jona	3	
ihelon	3	
bathuelis	3	
havoth	3	
eliphalet	3	
mephaath	3	
thyatiræ	3	
becbecia	3	
amital	3	
apollonii	3	
suph	3	
putiphare	3	
gorgiam	3	
sama	3	
jeser	3	
thelgathphalnasar	3	
ephratam	3	
gabelo	3	
priscilla	3	
joha	3	
iscariotem	3	
adonibezec	3	
jetebatha	3	
tychicus	3	
oolla	3	
sammai	3	
zethua	3	
melchiel	3	
salma	3	
zared	3	
jeboc	3	
hevæus	3	
esdrelon	3	
mamuchan	3	
ailath	3	
ahod	3	
abiel	3	
jaser	3	
enoch	3	
saphatiæ	3	
gamariæ	3	
arachites	3	
gosen	3	
sobochai	3	
selemith	3	
naphis	3	
ptolemaida	3	
jojadam	3	
charcamis	3	
mathanai	3	
beria	3	
semla	3	
galal	3	
galaaditim	3	
azzi	3	
beguai	3	
zabdiel	3	
emmaum	3	
merob	3	
gossem	3	
stephanæ	3	
tyrii	3	
sarasar	3	
elphaal	3	
adiel	3	
oded	3	
hasabiæ	3	
derben	3	
baalgad	3	
gabaonitas	3	
dario	3	
adramelech	3	
holoferne	3	
thanach	3	
ezechia	3	
jerimuth	3	
samua	3	
lysimachum	3	
phul	3	
ptolemæi	3	
azmaveth	3	
selmon	3	
phasea	3	
caathitarum	3	
eman	3	
oboth	3	
cariatharbe	3	
mathusala	3	yes
haroseth	3	
dalaia	3	
galaaditis	3	
xanthici	3	
theglathphalasar	3	
ledan	3	
hasersual	3	
hamul	3	
carnaim	3	
mesopotamiæ	3	
hananiam	3	
eliseo	3	
camuel	3	
gareb	3	
gabaonitæ	3	
joah	3	
thessalonicensium	3	
bethsur	3	
azareel	3	
maraioth	3	
sunamitis	3	
cendebæus	3	
beelsephon	3	
ochozia	3	
zabadia	3	
jara	3	
husathites	3	
segub	3	
abelmehula	3	
semma	3	
philisthæo	3	
balaath	3	
naalol	3	
idumæi	3	
troade	3	
gallim	3	
gaulon	3	
pharathonites	3	
phicol	3	
bethdagon	3	
nahum	3	
jasiel	3	
pherezæis	3	
achisamech	3	
besor	3	
azur	3	
sesan	3	
asemona	3	
godolia	3	
horonites	3	
sobnam	3	
jahaziel	3	
gergesæum	3	
seleuci	3	
phaceia	3	
thebni	3	
sared	3	
asbel	3	
hagla	3	
lystris	3	
merimuth	3	
meza	3	
aseneth	3	
pamphyliam	3	
duma	3	
abiud	3	
suthala	3	
golgotha	3	
gazara	3	
gersam	3	
aristarchus	3	
isaaritis	2	
madaba	2	
phison	2	yes
lydiam	2	
mosollamoth	2	
thamnas	2	
save	2	
machmethath	2	
seon	2	
bethsimoth	2	
geennom	2	
cademoth	2	
joadan	2	
netophathi	2	
gabaonites	2	
gedeoni	2	
nahaliel	2	
semmaa	2	
marimuth	2	
epaphras	2	
gabee	2	
laodicensium	2	
balaan	2	
madai	2	
ezrahitæ	2	
magdalum	2	
chasphiæ	2	
jecmaam	2	
thenac	2	
bamoth	2	
phaltiel	2	
ahiman	2	
gersonni	2	
istob	2	
maviaël	2	yes
cedma	2	
lebana	2	
ailam	2	
matred	2	
corneli	2	
bagathan	2	
bartholomæus	2	
maozim	2	
moseroth	2	
sidoniis	2	
taphuæ	2	
boën	2	
samgar	2	
methca	2	
lysia	2	
sebenia	2	
hethæo	2	
barabbas	2	
arbathites	2	
esthemo	2	
balan	2	
abital	2	
thanac	2	
sual	2	
bezec	2	
jesboc	2	
aracæum	2	
sidoni	2	
mathathiam	2	
michæa	2	
hatipha	2	
buzites	2	
iconio	2	
gabelus	2	
amoc	2	
manahath	2	
thiras	2	
thamnathsare	2	
galaaditidis	2	
semri	2	
jerosolymorum	2	
phadon	2	
samum	2	
gazan	2	
hasupha	2	
cephira	2	
maserephoth	2	
zachæus	2	
hesmona	2	
agabus	2	
geddel	2	
cendebæum	2	
saraim	2	
adaiæ	2	
sostratus	2	
ptolemenses	2	
sabania	2	
hebronitis	2	
mahazioth	2	
bercos	2	
josophat	2	
syenes	2	
jephthaël	2	
johel	2	
barsabas	2	
hebrona	2	
jochabed	2	
zamran	2	
selcha	2	
bacbuc	2	
phunon	2	
eltholad	2	
malasar	2	
mezaab	2	
anath	2	
oduia	2	
ismaëlem	2	
gaher	2	
pharasim	2	
apphaim	2	
bethbera	2	
mellothi	2	
hotham	2	
gilo	2	
salecha	2	
jethrites	2	
madan	2	
jehieli	2	
magdiel	2	
balanan	2	
dalaias	2	
gob	2	
tarsum	2	
thebes	2	
sophereth	2	
jechoniæ	2	
thohu	2	
spartiatarum	2	
gethsemani	2	
romemthiezer	2	
idumæos	2	
adommim	2	
adoniram	2	
meronathites	2	
tubalcain	2	yes
sarephta	2	
sebenias	2	
adoniam	2	
achaici	2	
bethaniæ	2	
ephrem	2	
subuel	2	
riphath	2	
caipham	2	
noëman	2	
esriel	2	
phithon	2	
ozaziu	2	
gezez	2	
salebim	2	
sosipater	2	
dositheus	2	
jambri	2	
helec	2	
lastheni	2	
jezrahelites	2	
